epoch,train_loss,val_loss,dice_wt,dice_tc,dice_et,mean_dice,lr
2,0.383995,0.190794,0.840593,0.749533,0.778720,0.789615,0.00019980
4,0.373927,0.177448,0.855252,0.763373,0.794881,0.804502,0.00019921
6,0.328794,0.176170,0.840810,0.760760,0.797453,0.799674,0.00019823
8,0.320944,0.180020,0.838633,0.761850,0.789146,0.796543,0.00019686
10,0.321280,0.175146,0.839834,0.755189,0.811092,0.802038,0.00019511
12,0.304463,0.157943,0.859497,0.792315,0.816908,0.822907,0.00019298
14,0.306929,0.145463,0.882747,0.806268,0.823732,0.837582,0.00019048
16,0.297105,0.139574,0.884442,0.824275,0.827989,0.845569,0.00018763
18,0.287914,0.131191,0.891216,0.836953,0.836351,0.854840,0.00018443
20,0.286488,0.134100,0.877386,0.843566,0.835896,0.852283,0.00018090
22,0.262493,0.131946,0.890284,0.842981,0.832940,0.855402,0.00017705
24,0.280975,0.134187,0.885090,0.834561,0.836590,0.852080,0.00017290
26,0.263490,0.127455,0.898234,0.833879,0.845655,0.859256,0.00016845
28,0.256943,0.130997,0.896373,0.825505,0.844702,0.855527,0.00016374
30,0.267001,0.120152,0.900376,0.856449,0.845075,0.867300,0.00015878
32,0.258629,0.119425,0.895493,0.862524,0.845878,0.867965,0.00015358
34,0.259259,0.124541,0.886961,0.858532,0.841362,0.862285,0.00014818
36,0.265395,0.117751,0.899694,0.864146,0.848727,0.870856,0.00014258
38,0.256515,0.126869,0.887882,0.856303,0.835637,0.859941,0.00013681
40,0.262318,0.114766,0.903400,0.866183,0.852899,0.874161,0.00013090
