epoch,train_loss,val_loss,dice_wt,dice_tc,dice_et,mean_dice,lr
2,0.886268,0.956076,0.531637,0.139685,0.000000,0.223774,0.00009961
4,0.850173,0.926808,0.694571,0.207858,0.000000,0.300810,0.00009843
6,0.793881,0.871273,0.736477,0.245668,0.000000,0.327382,0.00009649
8,0.749144,0.805818,0.763269,0.255721,0.000000,0.339664,0.00009382
10,0.725584,0.744239,0.780838,0.259690,0.000000,0.346843,0.00009045
12,0.696840,0.705049,0.782597,0.286049,0.000000,0.356215,0.00008645
14,0.675076,0.679130,0.762267,0.312597,0.000000,0.358288,0.00008187
16,0.647949,0.639973,0.790654,0.454338,0.000000,0.414997,0.00007679
18,0.619171,0.587770,0.804403,0.567415,0.000000,0.457273,0.00007129
20,0.615100,0.559434,0.809033,0.621147,0.000000,0.476727,0.00006545
22,0.590401,0.542822,0.805442,0.653975,0.000000,0.486472,0.00005937
24,0.580098,0.528277,0.814749,0.634672,0.000000,0.483140,0.00005314
26,0.586061,0.524846,0.820864,0.632211,0.000000,0.484358,0.00004686
28,0.571936,0.508721,0.813938,0.681713,0.000000,0.498550,0.00004063
30,0.563514,0.506417,0.822232,0.675512,0.000000,0.499248,0.00003455
32,0.571271,0.513980,0.821001,0.640534,0.000000,0.487178,0.00002871
